,Address,Postcode,Phone Number,Description,Website,Facilities,Name,Time-Location,Days,Times,Location,GoogleLoc,ValidGoogleLoc,Latitude,Longitude,Day List
18,"
Allen Street, Kensington
",['W8 6UX'],['02079375782'],Outreach mission from young Copts.,['https://bit.ly/2nnuqhJ'],Food (free),Coptic City Mission (St Mark's Coptic Orthodox Church),"[['Tuesday', ' 9pm-9:45pm'], '(Spenser Street SW1E 6AA, then Strand)']",Tuesday, 9pm-9:45pm,"(Spenser Street SW1E 6AA, then Strand)","{'results': [{'address_components': [{'long_name': 'Spenser Street', 'short_name': 'Spenser St', 'types': ['route']}, {'long_name': 'Westminster', 'short_name': 'Westminster', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'SW1E 6AA', 'short_name': 'SW1E 6AA', 'types': ['postal_code']}], 'formatted_address': 'Spenser St, Westminster, London SW1E 6AA, UK', 'geometry': {'bounds': {'northeast': {'lat': 51.4980121, 'lng': -0.1358981}, 'southwest': {'lat': 51.49780550000001, 'lng': -0.1371144}}, 'location': {'lat': 51.4979068, 'lng': -0.1365726}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.4992577802915, 'lng': -0.135157269708498}, 'southwest': {'lat': 51.4965598197085, 'lng': -0.137855230291502}}}, 'partial_match': True, 'place_id': 'Eh9TcGVuc2VyIFN0LCBMb25kb24gU1cxRSA2QUEsIFVLIi4qLAoUChIJWacOwN4EdkgR53R0DGZy67ASFAoSCXcsGsPeBHZIEYnBq3PW1dBP', 'types': ['route']}, {'address_components': [{'long_name': 'Strand', 'short_name': 'Strand', 'types': ['route']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}], 'formatted_address': 'Strand, London, UK', 'geometry': {'bounds': {'northeast': {'lat': 51.51429839999999, 'lng': -0.1108245}, 'southwest': {'lat': 51.50705420000001, 'lng': -0.1277033}}, 'location': {'lat': 51.5112079, 'lng': -0.1193447}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.51429839999999, 'lng': -0.1108245}, 'southwest': {'lat': 51.50705420000001, 'lng': -0.1277033}}}, 'partial_match': True, 'place_id': 'ChIJ3fliOsoEdkgRYxoYobox6es', 'types': ['route']}], 'status': 'OK'}",True,51.4979068,-0.1365726,tuesday
19,"
St John's Church Hall, Mattock Lane
",['W13 9LA'],['02088400651'],They also give practical help/housing advice. AA meetings.,['http://bit.ly/1PfJNlx'],"Accommodation/housing advice, Alcohol workers, Food (free)",Ealing Soup Kitchen,"[['Saturday & Sunday', ' 3:30pm-5pm'], ""(St John's Ch Room, Mattock Lane,  W13 9LA)""]",Saturday & Sunday, 3:30pm-5pm,"(St John's Ch Room, Mattock Lane,  W13 9LA)","{'results': [{'address_components': [{'long_name': 'St Johns Church', 'short_name': 'St Johns Church', 'types': ['premise']}, {'long_name': 'Mattock Lane', 'short_name': 'Mattock Ln', 'types': ['route']}, {'long_name': 'West Ealing', 'short_name': 'West Ealing', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'W13 9LA', 'short_name': 'W13 9LA', 'types': ['postal_code']}], 'formatted_address': 'St Johns Church, Mattock Ln, West Ealing, London W13 9LA, UK', 'geometry': {'location': {'lat': 51.509923, 'lng': -0.317178}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 51.5112719802915, 'lng': -0.3158290197084979}, 'southwest': {'lat': 51.5085740197085, 'lng': -0.318526980291502}}}, 'place_id': 'ChIJ2VZyr4gNdkgRpDhbrpHBu2E', 'plus_code': {'compound_code': 'GM5M+X4 London, United Kingdom', 'global_code': '9C3XGM5M+X4'}, 'types': ['church', 'establishment', 'place_of_worship', 'point_of_interest']}, {'address_components': [{'long_name': ""Saint James' Avenue"", 'short_name': ""St James' Ave"", 'types': ['route']}, {'long_name': 'West Ealing', 'short_name': 'West Ealing', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'W13 9DJ', 'short_name': 'W13 9DJ', 'types': ['postal_code']}], 'formatted_address': ""St James' Ave, West Ealing, London W13 9DJ, UK"", 'geometry': {'location': {'lat': 51.5090041, 'lng': -0.3264339000000001}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.5103530802915, 'lng': -0.325084919708498}, 'southwest': {'lat': 51.5076551197085, 'lng': -0.3277828802915021}}}, 'place_id': 'ChIJpb2Z1IMNdkgRGVdSg0CBSJo', 'plus_code': {'compound_code': 'GM5F+JC West Ealing, London, United Kingdom', 'global_code': '9C3XGM5F+JC'}, 'types': ['church', 'establishment', 'place_of_worship', 'point_of_interest']}], 'status': 'OK'}",True,51.509923,-0.317178,"['saturday', 'sunday']"
19,"
St John's Church Hall, Mattock Lane
",['W13 9LA'],['02088400651'],They also give practical help/housing advice. AA meetings.,['http://bit.ly/1PfJNlx'],"Accommodation/housing advice, Alcohol workers, Food (free)",Ealing Soup Kitchen,"[['Friday', ' 11am-4pm'], ""(drop-in, The Crypt, St John's W13 9LA""]",Friday, 11am-4pm,"(drop-in, The Crypt, St John's W13 9LA","{'results': [{'address_components': [{'long_name': 'St Johns Church', 'short_name': 'St Johns Church', 'types': ['premise']}, {'long_name': 'Mattock Lane', 'short_name': 'Mattock Ln', 'types': ['route']}, {'long_name': 'West Ealing', 'short_name': 'West Ealing', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'W13 9LA', 'short_name': 'W13 9LA', 'types': ['postal_code']}], 'formatted_address': 'St Johns Church, Mattock Ln, West Ealing, London W13 9LA, UK', 'geometry': {'location': {'lat': 51.509923, 'lng': -0.317178}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 51.5112719802915, 'lng': -0.3158290197084979}, 'southwest': {'lat': 51.5085740197085, 'lng': -0.318526980291502}}}, 'place_id': 'ChIJ2VZyr4gNdkgRpDhbrpHBu2E', 'plus_code': {'compound_code': 'GM5M+X4 London, United Kingdom', 'global_code': '9C3XGM5M+X4'}, 'types': ['church', 'establishment', 'place_of_worship', 'point_of_interest']}, {'address_components': [{'long_name': 'Mattock Lane', 'short_name': 'Mattock Ln', 'types': ['route']}, {'long_name': 'West Ealing', 'short_name': 'West Ealing', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'W13 9LA', 'short_name': 'W13 9LA', 'types': ['postal_code']}], 'formatted_address': ""The Crypt, St John's Church, Mattock Ln, West Ealing, London W13 9LA, UK"", 'geometry': {'location': {'lat': 51.51088679999999, 'lng': -0.3183988}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.5122357802915, 'lng': -0.3170498197084979}, 'southwest': {'lat': 51.5095378197085, 'lng': -0.319747780291502}}}, 'place_id': 'ChIJRyxysIgNdkgRteARsLvG-ig', 'plus_code': {'compound_code': 'GM6J+9J London, United Kingdom', 'global_code': '9C3XGM6J+9J'}, 'types': ['establishment', 'point_of_interest']}], 'status': 'OK'}",True,51.509923,-0.317178,friday
19,"
St John's Church Hall, Mattock Lane
",['W13 9LA'],['02088400651'],They also give practical help/housing advice. AA meetings.,['http://bit.ly/1PfJNlx'],"Accommodation/housing advice, Alcohol workers, Food (free)",Ealing Soup Kitchen,"[['Monday', ' 7pm-9pm'], '(drop-in, Salvation Army, 6 Leeland Rd, W13 9HH)']",Monday, 7pm-9pm,"(drop-in, Salvation Army, 6 Leeland Rd, W13 9HH)","{'results': [{'address_components': [{'long_name': '8', 'short_name': '8', 'types': ['street_number']}, {'long_name': 'Leeland Road', 'short_name': 'Leeland Rd', 'types': ['route']}, {'long_name': 'West Ealing', 'short_name': 'West Ealing', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'W13 9HH', 'short_name': 'W13 9HH', 'types': ['postal_code']}], 'formatted_address': '8 Leeland Rd, West Ealing, London W13 9HH, UK', 'geometry': {'location': {'lat': 51.5096567, 'lng': -0.3231146}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 51.5110056802915, 'lng': -0.3217656197084979}, 'southwest': {'lat': 51.5083077197085, 'lng': -0.324463580291502}}}, 'place_id': 'ChIJ0R6CroYNdkgRoNzsZUiF3ns', 'plus_code': {'compound_code': 'GM5G+VQ West Ealing, London, United Kingdom', 'global_code': '9C3XGM5G+VQ'}, 'types': ['establishment', 'point_of_interest']}], 'status': 'OK'}",True,51.5096567,-0.3231146,monday
24,"

",[],['02073942468'],"Help for people of all faiths and none, and a sympathetic ear.",['http://bit.ly/nDTFHu'],Food (free),FAST58,"[['Friday', ' 8:45pm-11pm'], '(Strand, near Ryman’s)']",Friday, 8:45pm-11pm,"(Strand, near Ryman’s)","{'results': [{'address_components': [{'long_name': '430', 'short_name': '430', 'types': ['street_number']}, {'long_name': 'Strand', 'short_name': 'Strand', 'types': ['route']}, {'long_name': 'Charing Cross', 'short_name': 'Charing Cross', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'WC2R 0QN', 'short_name': 'WC2R 0QN', 'types': ['postal_code']}], 'formatted_address': '430 Strand, Charing Cross, London WC2R 0QN, UK', 'geometry': {'location': {'lat': 51.5093329, 'lng': -0.1244707}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 51.5106818802915, 'lng': -0.123121719708498}, 'southwest': {'lat': 51.5079839197085, 'lng': -0.125819680291502}}}, 'place_id': 'ChIJAzbHms4EdkgRCX6_RlISkac', 'plus_code': {'compound_code': 'GV5G+P6 London, United Kingdom', 'global_code': '9C3XGV5G+P6'}, 'types': ['electronics_store', 'establishment', 'finance', 'home_goods_store', 'point_of_interest', 'store']}, {'address_components': [{'long_name': 'Bennett Precinct', 'short_name': 'Bennett Precinct', 'types': ['premise']}, {'long_name': '51', 'short_name': '51', 'types': ['street_number']}, {'long_name': 'The Strand', 'short_name': 'The Strand', 'types': ['route']}, {'long_name': 'Longton Exchange', 'short_name': 'Longton Exchange', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Stoke-on-Trent', 'short_name': 'Stoke-on-Trent', 'types': ['postal_town']}, {'long_name': 'Stoke-on-Trent', 'short_name': 'Stoke-on-Trent', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'ST3 2NS', 'short_name': 'ST3 2NS', 'types': ['postal_code']}], 'formatted_address': 'Bennett Precinct, 51 The Strand, Longton Exchange, Stoke-on-Trent ST3 2NS, UK', 'geometry': {'location': {'lat': 52.9880862, 'lng': -2.1366152}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.98943518029149, 'lng': -2.135266219708498}, 'southwest': {'lat': 52.98673721970849, 'lng': -2.137964180291502}}}, 'place_id': 'ChIJuWf78pxpekgRNKQfidXtsIA', 'plus_code': {'compound_code': 'XVQ7+69 Stoke-on-Trent, United Kingdom', 'global_code': '9C4VXVQ7+69'}, 'types': ['establishment', 'finance', 'point_of_interest', 'store']}], 'status': 'OK'}",True,51.5093329,-0.1244707,friday
24,"

",[],['02073942468'],"Help for people of all faiths and none, and a sympathetic ear.",['http://bit.ly/nDTFHu'],Food (free),FAST58,"[['Friday', ' 9:15pm-10:30pm'], '(Waterloo, near IMAX)']",Friday, 9:15pm-10:30pm,"(Waterloo, near IMAX)","{'results': [{'address_components': [{'long_name': 'South Bank', 'short_name': 'South Bank', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'SE1 8XR', 'short_name': 'SE1 8XR', 'types': ['postal_code']}], 'formatted_address': '1 Charlie Chaplin Walk, Waterloo, London SE1 8XR, UK', 'geometry': {'location': {'lat': 51.5048328, 'lng': -0.113505}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.50618178029149, 'lng': -0.112156019708498}, 'southwest': {'lat': 51.5034838197085, 'lng': -0.114853980291502}}}, 'place_id': 'ChIJm_mee7cEdkgRM0sbLsHGeWg', 'plus_code': {'compound_code': 'GV3P+WH Lambeth, London, United Kingdom', 'global_code': '9C3XGV3P+WH'}, 'types': ['bar', 'cafe', 'establishment', 'food', 'movie_theater', 'point_of_interest', 'store']}], 'status': 'OK'}",True,51.5048328,-0.113505,friday
26,"
37 Elizabeth Road, Brentwood, Dagenham, Essex
",['CM15 9PA'],['07985585996'],"Charitable organisation dedicated to reaching out to marginalised members of society. Founded upon Christian ethos, they aspire to address the social conditions of people in their vicinity by showing practical love.",['http://bit.ly/1xyrD2L'],"Clothing store, Food (free)",Flowing Rivers Foundation,"[['Tuesday', ' 7pm-10pm'], '(fellowship – Castle Green, Dagenham)']",Tuesday, 7pm-10pm,"(fellowship – Castle Green, Dagenham)","{'results': [{'address_components': [{'long_name': 'Castle Green', 'short_name': 'Castle Green', 'types': ['premise']}, {'long_name': 'Gale Street', 'short_name': 'Gale St', 'types': ['route']}, {'long_name': 'Dagenham', 'short_name': 'Dagenham', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'RM9 4UN', 'short_name': 'RM9 4UN', 'types': ['postal_code']}], 'formatted_address': 'Castle Green, Gale St, Dagenham RM9 4UN, UK', 'geometry': {'bounds': {'northeast': {'lat': 51.53424130000001, 'lng': 0.1268715}, 'southwest': {'lat': 51.53285409999999, 'lng': 0.1254986}}, 'location': {'lat': 51.53350409999999, 'lng': 0.1265312}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 51.5348966802915, 'lng': 0.127534030291502}, 'southwest': {'lat': 51.5321987197085, 'lng': 0.124836069708498}}}, 'place_id': 'ChIJHRWoqpel2EcRk1vTWo8s2XM', 'types': ['premise']}], 'status': 'OK'}",True,51.53350409999999,0.1265312,tuesday
27,"
12 Voyagers Close
",['SE28 8QQ'],['02036510869'],,['http://bit.ly/1mgtna6'],Food (free),Good Samaria Network,"[['Sunday', ' 6pm-7pm'], ""(Lincoln's Inn Fields)""]",Sunday, 6pm-7pm,(Lincoln's Inn Fields),"{'results': [{'address_components': [{'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Holborn', 'short_name': 'Holborn', 'types': ['neighborhood', 'political']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'WC2A 3TL', 'short_name': 'WC2A 3TL', 'types': ['postal_code']}], 'formatted_address': ""Lincoln's Inn The Treasury Office, Holborn, London WC2A 3TL, UK"", 'geometry': {'location': {'lat': 51.5167429, 'lng': -0.1143896}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.5180918802915, 'lng': -0.113040619708498}, 'southwest': {'lat': 51.5153939197085, 'lng': -0.115738580291502}}}, 'place_id': 'ChIJ2WpivUobdkgR31P_J_jBYkg', 'plus_code': {'compound_code': 'GV8P+M6 London, United Kingdom', 'global_code': '9C3XGV8P+M6'}, 'types': ['establishment', 'point_of_interest']}], 'status': 'OK'}",True,51.5167429,-0.1143896,sunday
29,"
102 Caledonian Road
",['N1 9DN'],['07946420827'],Delicious food made with pure vegetarian ingredients.,['http://bit.ly/cjkt0r'],"Education/training, Food (free), Internet access, Leisure facilities",Hare Krishna Food for All,"[['Monday-Saturday', ' 12pm-3pm'], ""(12.00: Islip St, Kentish Tn; 13.00: Arlington Rd/Inverness St, Camden; 14.25: (York Way, King's Cross)""]",Monday-Saturday, 12pm-3pm,"(12.00: Islip St, Kentish Tn; 13.00: Arlington Rd/Inverness St, Camden; 14.25: (York Way, King's Cross)","{'results': [{'address_components': [{'long_name': 'Islip Street', 'short_name': 'Islip St', 'types': ['route']}, {'long_name': 'Kentish Town', 'short_name': 'Kentish Town', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'NW5', 'short_name': 'NW5', 'types': ['postal_code', 'postal_code_prefix']}], 'formatted_address': 'Islip St, Kentish Town, London NW5, UK', 'geometry': {'bounds': {'northeast': {'lat': 51.5497605, 'lng': -0.1348821}, 'southwest': {'lat': 51.5491023, 'lng': -0.1408665}}, 'location': {'lat': 51.5494488, 'lng': -0.1379006}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.55078038029151, 'lng': -0.1348821}, 'southwest': {'lat': 51.54808241970851, 'lng': -0.1408665}}}, 'partial_match': True, 'place_id': 'ChIJo1sIrAMbdkgR29HcrfLbHdA', 'types': ['route']}, {'address_components': [{'long_name': 'York Way', 'short_name': 'York Way', 'types': ['route']}, {'long_name': 'Kings Cross', 'short_name': 'Kings Cross', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}], 'formatted_address': 'York Way, Kings Cross, London, UK', 'geometry': {'bounds': {'northeast': {'lat': 51.5407971, 'lng': -0.1222252}, 'southwest': {'lat': 51.5307273, 'lng': -0.1250091}}, 'location': {'lat': 51.5355429, 'lng': -0.1222979}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.5407971, 'lng': -0.1222252}, 'southwest': {'lat': 51.5307273, 'lng': -0.1250091}}}, 'partial_match': True, 'place_id': 'EiFZb3JrIFdheSwgS2luZ3MgQ3Jvc3MsIExvbmRvbiwgVUsiLiosChQKEgmD5KbpFht2SBESxIFhu45O1xIUChIJzU08xxAbdkgRuWtd0P4Rb2E', 'types': ['route']}], 'status': 'OK'}",True,51.5494488,-0.1379006,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']"
29,"
102 Caledonian Road
",['N1 9DN'],['07946420827'],Delicious food made with pure vegetarian ingredients.,['http://bit.ly/cjkt0r'],"Education/training, Food (free), Internet access, Leisure facilities",Hare Krishna Food for All,"[['Monday-Friday', ' 12:15pm-2:30pm'], '(LSE and SOAS) ']",Monday-Friday, 12:15pm-2:30pm,(LSE and SOAS) ,"{'results': [{'address_components': [{'long_name': 'Houghton Street', 'short_name': 'Houghton St', 'types': ['route']}, {'long_name': 'Holborn', 'short_name': 'Holborn', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'WC2A 2AE', 'short_name': 'WC2A 2AE', 'types': ['postal_code']}], 'formatted_address': 'Houghton St, Holborn, London WC2A 2AE, UK', 'geometry': {'location': {'lat': 51.5144388, 'lng': -0.1164513}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.5157877802915, 'lng': -0.115102319708498}, 'southwest': {'lat': 51.5130898197085, 'lng': -0.117800280291502}}}, 'place_id': 'ChIJWwWza3sadkgR77gsD5ccs70', 'plus_code': {'compound_code': 'GV7M+QC Holborn, London, United Kingdom', 'global_code': '9C3XGV7M+QC'}, 'types': ['establishment', 'point_of_interest', 'university']}], 'status': 'OK'}",True,51.5144388,-0.1164513,"['monday', 'tuesday', 'wednesday', 'thursday']"
29,"
102 Caledonian Road
",['N1 9DN'],['07946420827'],Delicious food made with pure vegetarian ingredients.,['http://bit.ly/cjkt0r'],"Education/training, Food (free), Internet access, Leisure facilities",Hare Krishna Food for All,"[['Monday-Thursday', ' 7:30pm-8:30pm'], '(Lincoln’s Inn Fields)']",Monday-Thursday, 7:30pm-8:30pm,(Lincoln’s Inn Fields),"{'results': [{'address_components': [{'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Holborn', 'short_name': 'Holborn', 'types': ['neighborhood', 'political']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}, {'long_name': 'WC2A 3TL', 'short_name': 'WC2A 3TL', 'types': ['postal_code']}], 'formatted_address': ""Lincoln's Inn The Treasury Office, Holborn, London WC2A 3TL, UK"", 'geometry': {'location': {'lat': 51.5167429, 'lng': -0.1143896}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.5180918802915, 'lng': -0.113040619708498}, 'southwest': {'lat': 51.5153939197085, 'lng': -0.115738580291502}}}, 'place_id': 'ChIJ2WpivUobdkgR31P_J_jBYkg', 'plus_code': {'compound_code': 'GV8P+M6 London, United Kingdom', 'global_code': '9C3XGV8P+M6'}, 'types': ['establishment', 'point_of_interest']}], 'status': 'OK'}",True,51.5167429,-0.1143896,"['monday', 'tuesday', 'wednesday']"
37,"

",[],['07904444194'],"Meals, toiletries, clothes, sleeping bags.",NA,"Food (free), Medical/health",Love to the Nations Ministry,"[['Wednesday', ' 7pm-7:30pm'], '(hot drinks and sandwiches, Charing X)']",Wednesday, 7pm-7:30pm,"(hot drinks and sandwiches, Charing X)","{'results': [{'address_components': [{'long_name': 'Charing Cross', 'short_name': 'Charing Cross', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}], 'formatted_address': 'Charing Cross, London, UK', 'geometry': {'bounds': {'northeast': {'lat': 51.5135131, 'lng': -0.121372}, 'southwest': {'lat': 51.5064678, 'lng': -0.1292108}}, 'location': {'lat': 51.5090275, 'lng': -0.1255016}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 51.5135131, 'lng': -0.121372}, 'southwest': {'lat': 51.5064678, 'lng': -0.1292108}}}, 'place_id': 'ChIJrStISs4EdkgRvEoozoLVlx0', 'types': ['neighborhood', 'political']}], 'status': 'OK'}",True,51.5090275,-0.1255016,wednesday
37,"

",[],['07904444194'],"Meals, toiletries, clothes, sleeping bags.",NA,"Food (free), Medical/health",Love to the Nations Ministry,"[['Sunday', ' 4pm-4:30pm'], '(alt weeks, Charing X - phone)']",Sunday, 4pm-4:30pm,"(alt weeks, Charing X - phone)","{'results': [{'address_components': [{'long_name': 'Charing Cross', 'short_name': 'Charing Cross', 'types': ['neighborhood', 'political']}, {'long_name': 'London', 'short_name': 'London', 'types': ['postal_town']}, {'long_name': 'Greater London', 'short_name': 'Greater London', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'England', 'short_name': 'England', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Kingdom', 'short_name': 'GB', 'types': ['country', 'political']}], 'formatted_address': 'Charing Cross, London, UK', 'geometry': {'bounds': {'northeast': {'lat': 51.5135131, 'lng': -0.121372}, 'southwest': {'lat': 51.5064678, 'lng': -0.1292108}}, 'location': {'lat': 51.5090275, 'lng': -0.1255016}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 51.5135131, 'lng': -0.121372}, 'southwest': {'lat': 51.5064678, 'lng': -0.1292108}}}, 'place_id': 'ChIJrStISs4EdkgRvEoozoLVlx0', 'types': ['neighborhood', 'political']}], 'status': 'OK'}",True,51.5090275,-0.1255016,sunday
